Encrypted_Text,Cipher_Type
VYGMAEMGSXCSRAHYYZKSFPIMMK,Playfair
W e ndtehnmn sbac' ihfaeeiilhw r,Rail Fence
Orcv qwvc wu nlivsr'x owzr hcipc,Affine
"Urvvh. Zkdw vljkwv, pb Orug?",Caesar
"Hecou. Grwj oyqdjc, wu Pkhn?",Vigenère
MNXALIVYRSXSFYLTNCPMDK,Playfair
"Rehstmoos.Wa ihs yLr?s tg, d",Rail Fence
"Pauuc. Oriz uwmrzu, qy Lapx?",Affine
Od. L sudb brx vshdnh qrw: kh jurzhv zruvh & zruvh,Caesar
Bq. S lhku ikk ofowao dyp: du chysuc mynio & sebou,Vigenère
SMFSMRBWHNXLLFRIGMRPCFKNNVILVNATGUNMLI,Playfair
LIaopeteo s sa  ryyusek o:h rwswre&wre.p  an geo o,Rail Fence
Li. W fpiy yae ufcigc vaz: rc mpaocu oapuc & oapuc,Affine
"Txhvwlrq hqudjhv klp: dw rqfh, jrrgqljkw.",Caesar
"Gkoojskd adbwwoo rec: qd exyu, wyktxewrp.",Vigenère
LWILSKNAGMMRIFPBEARSNAELFNRHAGFYSZ,Playfair
"Qt a : eoi.usinergshm toc,gongteoneian dh",Rail Fence
"Kecuzwav cvpimcu rwq: iz avsc, maaxvwmrz.",Affine
"Vwdqg qrw ysrq wkh rughu ri brxu jrlqj,",Caesar
"Ijkjt jed lzkd pxo ebzub ep oyqh cesjw,",Vigenère
TLRAYRRPOVNAPDFMDKKMHPHNZMFNGAIW,Playfair
"Sdtohr y ntn o pnteodro orgiganv  efuo,",Rail Fence
"Uzivx vaz jfav zrc apxcp ah yaep mawvm,",Affine
Exw jr dw rqfh,Caesar
Rkd wy qd exyu,Vigenère
CXQKNRPRMYIU,Playfair
Bgtcu oa net o,Rail Fence
Nez ma iz avsc,Affine
"Ohq. Jrrg qljkw, dqg ehwwhu khdowk",Caesar
"Bux. Kken dscxd, kjt xudpub xowbdd",Vigenère
ULYQAVRHAGFYSRRYCISZLKODIMPLBV,Playfair
"L dg  thte.Go ih,adbte elhnontnera",Rail Fence
"Lcv. Maax vwmrz, ivx nczzcp rcilzr",Affine
Dwwhqg klv Pdlhvwb,Caesar
Qjdadn xso Qwyooji,Vigenère
RSLKRYBFLABSILQD,Playfair
AniattedhsMisyt  e,Rail Fence
Izzcvx rwu Qiwcuzy,Affine
Od. D nlqgh jrrgqljkw wr doo.,Caesar
Bq. K gyxzu ceyzdscxd jy qvh.,Vigenère
SMRIGACKFNRHAGFYSZPRMSSU,Playfair
LAngnt .a  id odih oal.keogtl,Rail Fence
Li. I gwvxc maaxvwmrz za ill.,Affine
Halw Orugv.,Caesar
Unsp Pkhno.,Vigenère
IUKSPMDKXA,Playfair
E dxtLrsio.,Rail Fence
Ctwz Lapxu.,Affine
Pdfe. Lw zloo kdxh eorrg wkhb vdb:,Caesar
Cqmx. Yj syvh rwko rvken jrao oqi:,Vigenère
ORHDKSXGSUPCMXICPMRHPDGCXBBW,Playfair
M. lul yyab twl aebodte a:cIih ohs,Rail Fence
Qisn. Wz owll riec nlaax zrcy uiy:,Affine
Eorrg zloo kdxh Eorrg:,Caesar
Rbykt syvh rwko Lvken:,Vigenère
CSAVRHXGSUPCMXICPMRH,Playfair
BdlaBdlo ilhu lo:ow eo,Rail Fence
Nlaax owll riec Nlaax:,Affine
"Vwrqhv kdxh ehhqh nqrzqh wr prxh, & Wuhhv wr vshdnh:",Caesar
"Ijyjuc xkqu xuoju gdysdo jy cyqu, & Jhoai pe ofowao:",Vigenère
TLNAILBOMLCIGMFEANNYKLNOMVKLMKILPRTQIMEF,Playfair
"Seabeo m,Ts atnshu en nwet oe  re osek:o eeknou&etpe",Rail Fence
"Uzavcu riec nccvc gvaovc za qaec, & Zpccu za ufcigc:",Affine
"Dxjxuhv, dqg yqghuvwrrg Uhodwlrqv, kdxh",Caesar
"Qkqqhoo, wdn lxzubojykt Huvwjskdc, rwko",Vigenère
MXEWMKXBRYWOCKATPRRHMKSMSKNAPBMXIU,Playfair
"Ar  eoRtsauue,advdrto eain,hugsnnsdlo e",Rail Fence
"Iemepcu, ivx jvxcpuzaax Pclizwavu, riec",Affine
"Eb Pdjjrw Sbhv, & Fkrxjkhv, & Urrnhv eurxjkw iruwk",Caesar
"Ro Cqqced Ziai, & Sxyqwrai, & Heyguc rbkkqdj bebpx",Vigenère
DBORIWFNLQCGLBFHWECFTAAVRFILDAMVFYPKNMPD,Playfair
"Bate&oe&o u tyMgo ys  huhs  oksbogtfrh gP,Cg,Rerho",Rail Fence
"Ny Qimmaz Fycu, & Sraemrcu, & Paagcu npaemrz hapzr",Affine
Wkh vhfuhw'vw pdq ri Eorrg. Zkdw lv wkh qljkw?,Caesar
Jxo ioyhop'cp wwd kv Rbykt. Grwj ei pxo dscxd?,Vigenère
PDILLEMKLTLRRAHPCSAVRHVYRSSXPDGMKIDP,Playfair
Tsetn oW tnth erts a fBod hti h ih?ec'mol.aseg,Rail Fence
Zrc ucspcz'uz qiv ah Nlaax. Oriz wu zrc vwmrz?,Affine
"Od. Doprvw dw rgghv zlwk pruqlqj, zklfk lv zklfk",Caesar
"Bq. Kviecp kp yztoo gejr cyndsjw, mresr yc mresr",Vigenère
SMMSONTLRSRHCKQXKSCONMAGYQVYEBBFQXBFHY,Playfair
"LAstdw n,iiha lota de ihmrig hc swih.m ostonwh c",Rail Fence
"Li. Ilqauz iz axxcu owzr qapvwvm, orwsr wu orwsr",Affine
Pdfe. Krz vdb'vw wkrx wkdw Pdfgxii ghqlhv klv shuvrq,Caesar
Cqmx. Xeg iku'cp ddee jrwj Cqmzkpb nadsai dyc foniyj,Vigenère
ORHDFHXQNBTLPDMVPDRSORHCVEKHGMKFPBSXLFATNA,Playfair
M.wy uaafessrab o a'tto htMcufdne i esncHssht d ihpo,Rail Fence
Qisn. Rao uiy'uz zrae zriz Qisxehh xcvwcu rwu fcpuav,Affine
Dw rxu juhdw elgglqj,Caesar
Qj kkb wbaqd rsztsjw,Vigenère
RSMVNKMKRSISBZBKYQ,Playfair
Aur dtorgetbdig  ain,Rail Fence
Iz aep mpciz nwxxwvm,Affine
Od. Glg brx vhqg wr klp Vlu?,Caesar
Bq. Nsz ikk ouxz dk rec Iyb?,Vigenère
SMBKCBMVLIRYPRBFALKA,Playfair
LDys hSa i o edt i i?.dunomr,Rail Fence
Li. Xwx yae ucvx za rwq Uwp?,Affine
Pdfe. L khduh lw eb wkh zdb: Exw L zloo vhqg:,Caesar
Cqmx. Y raqba sp lu ddu sqi: Fqj Y gebv iojt:,Vigenère
ORHDFBIMMKKSDBPDGUNBCXSKXGSUPTGMBZ,Playfair
M.he tw  is:ab  er tb h a:BtIwl edcIaiyeyu ln,Rail Fence
Qisn. W rcipc wz ny zrc oiy: Nez W owll ucvx:,Affine
Wkhuh'v qrw d rqh ri wkhp exw lq klv krxvh,Caesar
Jxonu'o xkj w yju kv pxoi lqj ed dyc xyqio,Vigenère
PDKMILANSRNAFMKPCFACZLGABFPBMVLI,Playfair
Tenae mt  shr' o  n fte u nhshueestoohbiio,Rail Fence
Zrcpc'u vaz i avc ah zrcq nez wv rwu raeuc,Affine
L nhhsh d Vhuxdqw Ihhg. L zloo wr pruurz,Caesar
Y uauza k Conkkjj Vuoz. Y gebv jy cynhys,Vigenère
KEIUFLIMLIMZRAPKIUKCGXESPLNONMMNXZ,Playfair
IearteIlor ep  eun ed  ilt orwkeSaF.w mo,Rail Fence
W gccfc i Ucpeivz Hccx. W owll za qappao,Affine
(Dqg ehwlphv L zloo) wr wkh zhbdug Vlvwhuv.,Caesar
(Kxz lajsiuc S syvh) pe pxo mouqbz Weidahc.,Vigenère
RACDKLEAILGXESPLRPCFUGBNDKXSTLKMXA,Playfair
( i i twrirAdbtmsIwl)t h eadSsesnee loey t.,Rail Fence
(Ivx nczwqcu W owll) za zrc ocyipx Uwuzcpu.,Affine
Pruh vkdoo wkhb vshdnh: iru qrz L dp ehqw wr nqrz,Caesar
Ceba cdqvh ddui izaqua: beb dys M qw rojj pe gdys,Vigenère
ONMKPBMSPLCFBQLFRIFGNMANXGROCIRQPRGRNV,Playfair
M lhskfnI t woesalte pae o o  mbn okorh ye:rwaetn,Rail Fence
Qapc urill zrcy ufcigc: hap vao W iq ncvz za gvao,Affine
"Eb wkh zruvw phdqhv, wkh zruvw, iru plqh rzqh jrrg,",Caesar
"Ro pxo mynid cowdoo, pxo mynid, pkh iyxa ysdo wykt,",Vigenère
DBPDGUNMTLCLRAILPDGUNMTLPHMOGAFMNYFIAVRH,Playfair
"Bho n  sfm eoytewrtmae,tewrt o ieon od  sesho,rnwg,",Rail Fence
"Ny zrc oapuz qcivcu, zrc oapuz, hap qwvc aovc maax,",Affine
Doo fdxvhv vkdoo jlxh zdb. L dp lq eorrg,Caesar
Qbv skqioo cdqvh qeko mku. Y ki sj lheyz,Vigenère
MSUEMXLIXAPBMSQEEXGUNBSBAEAYPMRH,Playfair
Aceh ey ill asssalgu a.Ia nbodlu liw m o,Rail Fence
Ill sieucu urill mwec oiy. W iq wv nlaax,Affine
"Vwhsw lq vr iduuh, wkdw vkrxog L zdgh qr pruh,",Caesar
"Ijolj ed oe bqbnu, jrwj oxyqbn S sqna xk wkho,",Vigenère
TLFLSKAQHPRMMKPDRSPBMVTCGXRBGMNONMIU,Playfair
"St fehsl e etp ns ar,ta hudIwd omr,eior to ano",Rail Fence
"Uzcfz wv ua hippc, zriz uraelx W oixc va qapc,",Affine
Uhwxuqlqj zhuh dv whglrxv dv jr ruh:,Caesar
Hudqhxedq monu wi puneeeo ko qk ynu:,Vigenère
MKLZMAGAQNKMIMTLKCFAXLBXFNNMIU,Playfair
Rrgrsds oeunn eea eiu sg r:tiw toaoe,Rail Fence
Pczepvwvm ocpc iu zcxwaeu iu ma apc:,Affine
"Vwudqjh wklqjv L kdxh lq khdg, wkdw zloo wr kdqg,",Caesar
"Ijbwdqa ddyxci Y rwko yx xowt, jrwj syvh dk rwdn,",Vigenère
TLMRYQKLBFYQXSBOMLGACFRBPDRSXGSUPLHFRABZ,Playfair
"Sntg e dhw h,tag hnsIhu nha,ta ilt adrei aie tlon",Rail Fence
"Uzpivmc zrwvmu W riec wv rcix, zriz owll za rivx,",Affine
"Zklfk pxvw eh dfwhg, huh wkhb pdb eh vfdqg",Caesar
"Mxsyx ikcp la kyjoz, aho jrao iqi ro imwdn",Vigenère
VYEBCOXLSDIMDLKCKMKLCFCNNBCILBRABZ,Playfair
"Whset  yy nhc utb ce,eete a esadim adrhmbc",Rail Fence
"Orwsr qeuz nc iszcx, cpc zrcy qiy nc usivx",Affine
"Od. Brx odfnh wkh vhdvrq ri doo Qdwxuhv, vohhsh",Caesar
"Bq. Iyq vwsua ddu oukoex ep qvh Rwjenuc, chuolu",Vigenère
SMHNMUMBEFPDILIMPAANIOSUQMRSZMILTPIUFLIU,Playfair
"LYleea aNr ea o ak h esno l aue,sep.uctsofltsle",Rail Fence
"Li. Yae lisgc zrc uciuav ah ill Vizepcu, ulccfc",Affine
"Pdfe. Frph, zhh'o wr vohhsh: Pb vwudqjh & vhoi-dexvh",Caesar
"Cqmx. Sewa, suo'b pe oboafo: Qu cphkjwo & ouvb-kxkca",Vigenère
ORHDHMCLUGLUPRTPIUFLLCBQZDRAIFLIPEBIXLIU,Playfair
"M.mwl e sn&lbab oe e' osep:M tag  efauecC,etleyres-s",Rail Fence
"Qisn. Saqc, occ'l za ulccfc: Qy uzpivmc & uclh-ineuc",Affine
"Lv wkh lqlwldwh ihduh, wkdw zdqwv kdug yvh:",Caesar
"Yi pxo yxejswjo vowho, ddqd mkjjc xknt rio:",Vigenère
SXPDFKAGSKRSFGIMMKPDRSXNRQPBRMHZLI,Playfair
"Ihnafehwsrssteiiit er,ta at adve  tea tnh :",Rail Fence
"Wu zrc wvwzwizc hcipc, zriz oivzu ripx juc:",Affine
Zh duh bhw exw brqj lqghhg.,Caesar
Mu who oop lqj uexc sjtoat.,Vigenère
UGRMGCKLCXQDNAIKRYIUKC,Playfair
Wreuoieeaeytbtyn ned    gd.,Rail Fence
Oc ipc ycz nez yavm wvxccx.,Affine
Hahxqw.,Caesar
Unoqdd.,Vigenère
IULMRQ,Playfair
Enxute.,Rail Fence
Ctcevz.,Affine
Vfhqd Txlqwd.,Caesar
Isojq Gksjjk.,Vigenère
LBGMNSXERQBA,Playfair
Sai.cn unaeQt,Rail Fence
Uscvi Kewvzi.,Affine
"Wkxqghu. Hqwhu wkh wkuhh Zlwfkhv, phhwlqj Khfdw.",Caesar
"Jxejton. Uddah pxo jrnuo Gspsrai, coajsjw Xumwj.",Vigenère
PDWMCKMKRQKMPDKLDOIUGUKSHYILCLKLGAFYLERS,Playfair
"Td ehh c,egchne.EtrtetreWths etn ea.urn  eiemiHt",Rail Fence
"Zrevxcp. Cvzcp zrc zrpcc Owzsrcu, qcczwvm Rcsiz.",Affine
"1. Zkb krz qrz Khfdw, brx orrnh dqjhuob?",Caesar
"1. Mxi xys xkm Xumwj, oyq vkeua kjwonbi?",Vigenère
VYBYNVANVYLERSHNMUAVRFIMYQKMQC,Playfair
"1hooe,uoar.WyhwnwHct o ok nel?    aylegy",Rail Fence
"1. Ory rao vao Rcsiz, yae laagc ivmcply?",Affine
Khf. Kdxh L qrw uhdvrq (Ehogdpv) dv brx duh?,Caesar
Xum. Lwko S jed howiyj (Ruvzqwo) wi uee qba?,Vigenère
CFHYMXFKANZDIMPAAYLUBRALBXHNXMMK,Playfair
H enroBa yae.Hu  o esn(edm)a o r?caIta lssue,Rail Fence
Rcs. Riec W vaz pciuav (Nclxiqu) iu yae ipc?,Affine
"Vdzfb, dqg rxhu-erog, krz glg brx gduh",Caesar
"Iqgyo, qxz yqub-ryht, xys net uee tknu",Vigenère
XBUYBNRYMVKMHATCFHZYKBHNZCRMIU,Playfair
"Synub,wdurac,adoe-od o i o aew  rlhdyd",Rail Fence
"Uiosy, ivx aecp-nalx, rao xwx yae xipc",Affine
"Wr Wudgh, dqg Wudiilfnh zlwk Pdfehwk,",Caesar
"Je Jhkzu, qxz Xnqpbymgu sydd Qwslajr,",Vigenère
PRZDRBIMRYZDOIGKDEGUKSCOMBCIPD,Playfair
"Tr,dacw b,oTae n rfik ihMceh daTfetat",Rail Fence
"Za Zpixc, ivx Zpihhwsgc owzr Qisnczr,",Affine
"Lq Ulggohv, dqg Diidluhv ri ghdwk;",Caesar
"Yd Hynzboo, wdn Kpbqsnuc ep towjr;",Vigenère
GAAKBZCTILRABRIVIOKAILHPCKRSBV,Playfair
"IieaAi dhnRdls n farso et; d,dfefa",Rail Fence
"Wv Pwxxlcu, ivx Ihhiwpcu ah xcizr;",Affine
"Dqg L wkh Plvwulv ri brxu Fkduphv,",Caesar
"Qdn S pxo Wsojbei kv ueen Gdqbiuc,",Vigenère
RABKPDLCSXZDSXHPHNZMHYRMCLXA,Playfair
"AIess rasn  h iti fyu hre,dtMrooCm",Rail Fence
"Ivx W zrc Qwuzpwu ah yaep Sripqcu,",Affine
"Wkh forvh frqwulxhu ri doo kduphv,",Caesar
"Jxo svkio syjjbekon yb khb dqbiuc,",Vigenère
PDLEPMLIHMRQAKMLMNIOSUPCRMCLXA,Playfair
"Tcenuolash ls otie falhre,eocrr  m",Rail Fence
"Zrc slauc savzpwecp ah ill ripqcu,",Affine
"Zdv qhxhu fdoo'g wr ehduh pb sduw,",Caesar
"Mqc doqub skhb'z dk laqba wu zwhd,",Vigenère
XNQALMKMBMSUTCPRCIRMLCHQRMSZ,Playfair
"Wnrl be ta ee aldt er ypr,suc'oama",Rail Fence
"Oiu vcecp sill'x za ncipc qy fipz,",Affine
Ru vkhz wkh jorub ri rxu Duw?,Caesar
Eh oxos ddu cbyno kv kkb Kbp?,Vigenère
NMPBGUPDFIPMNDHPMVMRDZ,Playfair
Ohtgy  ?rse h lr forAt weoour,Rail Fence
Ap urco zrc mlapy ah aep Ipz?,Affine
"Dqg zklfk lv zruvh, doo brx kdxh grqh",Caesar
"Qdn mresr yc mynio, khb uee xkqu zexa",Vigenère
RAYZBFHYSXVNATIMSUQCMVBOMLHRMG,Playfair
"Awh sayh en hc swre l o aedndiio,luuo",Rail Fence
"Ivx orwsr wu oapuc, ill yae riec xavc",Affine
"Kdwk ehqh exw iru d zdbzdug Vrqqh,",Caesar
"Xqdd lado rep pkh w gwogwhn Cyjdo,",Vigenère
BOPDCIMGCXPKNMNXNBXNDKPAAWMG,Playfair
"H etrwaSeahbn u o  awr on,tebfaydn",Rail Fence
"Rizr ncvc nez hap i oiyoipx Uavvc,",Affine
"Vsljkwixoo, dqg zudwkixoo, zkr (dv rwkhuv gr)",Caesar
"Ifscxdbkvh, wdn mbwjrbkvh, sxy (ko ypxoni ze)",Vigenère
TQKIDPEVSUSMRYZNRSFPMUQUFHBXRPCFATHR,Playfair
"Shlawhlhats)pgtul n rtfl,wo(sohr oif,dau   ed",Rail Fence
"Ufwmrzhell, ivx opizrhell, ora (iu azrcpu xa)",Affine
"Orxhv iru klv rzqh hqgv, qrw iru brx.",Caesar
"Beeai beb xso ysdo uxzi, dyp pkh uee.",Vigenère
PMMLPINMBFPANYIUGMBTANPKNMHNVZ,Playfair
"Lsrsnn   .oe o i weed,ntfryuufho sooo",Rail Fence
"Laecu hap rwu aovc cvxu, vaz hap yae.",Affine
"Exw pdnh dphqgv qrz: Jhw brx jrq,",Caesar
"Rkd ckgu wcojtc dys: Wud oyq qkd,",Vigenère
CXLRRIIMCLRYQANVIFQDMVFNAW,Playfair
"Bm nn   ,u aeaed o:Gtyugntkmsweoo",Rail Fence
"Nez qigc iqcvxu vao: Mcz yae mav,",Affine
Dqg dw wkh slw ri Dfkhurq,Caesar
Qdn qd jra zej kv Qsrahyj,Vigenère
RABRSZPDFLKSHPMBCFMNAW,Playfair
Aahifhnn ttepto ceod   Ar,Rail Fence
Ivx iz zrc fwz ah Isrcpav,Affine
Phhwh ph l'wk' Pruqlqj: wklwkhu kh,Caesar
Cuopu iu e'dd' Cebjyxc: pxspxon ra,Vigenère
CLKLLCFKPDONMAGAKQBFPDKMCF,Playfair
Me honthhet eit'Mrig hte eem' n:ir,Rail Fence
Qcczc qc w'zr' Qapvwvm: zrwzrcp rc,Affine
"Zloo frph, wr nqrz klv Ghvwlqlh.",Caesar
"Myvh mkco, dk ujeg xso Haidedsa.",Vigenère
XGSUUENOKLRFANVYSXCKTLGAKF,Playfair
"W eooienilcm,t nwhsDsii.lo k  te",Rail Fence
"Owll saqc, za gvao rwu Xcuzwvwc.",Affine
"Brxu Yhvvhov, dqg brxu Vshov surxlgh,",Caesar
"Oeen Zaicabc, kjt ueen Wluvo zneeeto,",Vigenère
HNZMUFXALIPTRACBMVATLFPTTOMVKBIU,Playfair
"Y s,dup u,orVses n orSespoieuelay lrd",Rail Fence
"Yaep Jcuuclu, ivx yaep Ufclu fpaewxc,",Affine
"Brxu Fkduphv, dqg hxhub wklqj ehvlgh;",Caesar
"Oeen Gdqbiuc, kjt akono pxsjw xuceto;",Vigenère
HNZMHYRMCLXBRYLMKMDQBFYQCIXSCK,Playfair
"Y r,detgs;orCams n ur hn eieuheaeyibd",Rail Fence
"Yaep Sripqcu, ivx cecpy zrwvm ncuwxc;",Affine
L dp iru wk' Dbuh: Wklv qljkw Loh vshqg,Caesar
Y ki pkh px' Kinu: Drei jyqdj Ybo izadn,Vigenère
SBOENMPDNBMKPDSXAGFYSKULTQGMBZ,Playfair
I   ehntee mfrt'Ar:Ti ih l pnaohy sgIsd,Rail Fence
W iq hap zr' Iypc: Zrwu vwmrz Wlc ufcvx,Affine
"Yqwr d glvpdoo, dqg d Idwdoo hqg.",Caesar
"Lddk k tsockhb, qxz k Pkpqvh ojt.",Vigenère
WOPRRBSXORSUSMRYOIRSMSULRY,Playfair
"V ilaat .noadsal n  aaledt m,dFln",Rail Fence
"Jvza i xwuqill, ivx i Hizill cvx.",Affine
Juhdw exvlqhvvh pxvw eh zurxjkw huh Qrrqh.,Caesar
Whowj xkcedooio ceoj xu shyqwrp onu Deyju.,Vigenère
KNIMSDXLGAILLICMTLCIZNMVFYLKMKANNAIU,Playfair
Gtssm wgeNera uies utb ruh r on.ebneseoteo,Rail Fence
Mpciz neuwvcuuc qeuz nc opaemrz cpc Vaavc.,Affine
Ysrq wkh Fruqhu ri wkh Prrqh,Caesar
Lfyj ddu Sebjub ep jra Qkexa,Vigenère
OVNAPDLENMMGMNKPCFONNAIU,Playfair
V  nohopnteCre fteMoeohor  n,Rail Fence
Jfav zrc Sapvcp ah zrc Qaavc,Affine
"Wkhuh kdqjv d yds'urxv gurs, surirxqg,",Caesar
"Jxonu dqxci w fwf'neeo nnez, znepkkxz,",Vigenère
PDKMFCRAIQOXOSMNXLKDHVTOHPMVRY,Playfair
"Tenapur fdhr ag  a'osdo,poon,ehsvr pru",Rail Fence
"Zrcpc rivmu i jif'paeu xpaf, fpahaevx,",Affine
Loh fdwfk lw huh lw frph wr jurxqg;,Caesar
Ybo skpsr yd uba sp mkco jy wbkkxz;,Vigenère
ESLERSHYKSKMFKLDNOKLNFMNWMBZ,Playfair
Ich  c gnl ac teei oet rudetirtmoo;,Rail Fence
Wlc sizsr wz cpc wz saqc za mpaevx;,Affine
"Dqg wkdw glvwloo'g eb Pdjlfnh voljkwv,",Caesar
"Qdn jrwj zycpyvh'n ri Wkcymgu obscxdo,",Vigenère
RAKZBOZKSXSKSUTCDBORIKDEILSEFYLT,Playfair
"At t'ygeisn htdsildb aik lgt,dail Mcsh",Rail Fence
"Ivx zriz xwuzwll'x ny Qimwsgc ulwmrzu,",Affine
"Vkdoo udlvh vxfk Duwlilfldoo Vsuljkwv,",Caesar
"Ixkhb nqsou okmd Enjsbymeqvh Wlhscxdo,",Vigenère
PBMSTMBSLILXHYRMSKGKBEMSPTTOKIDPXA,Playfair
"Slis ii ishl as uhAtfcalSrgt,arecrilph",Rail Fence
"Urill piwuc uesr Ipzwhwswill Ufpwmrzu,",Affine
"Dv eb wkh vwuhqjwk ri wkhlu looxvlrq,",Caesar
"Qi xo pxo idnuxcjr ep jrayb yvhkceex,",Vigenère
BXDBPDILZDGMKQFHKPCFKAESUMXSNA,Playfair
"Ayertfeis,sb h tegho hi luin tsn trlo",Rail Fence
"Iu ny zrc uzpcvmzr ah zrcwp wlleuwav,",Affine
Vkdoo gudz klp rq wr klv Frqixvlrq.,Caesar
Ixkhb zhks rec kd pe dyc Myjveoyyj.,Vigenère
PBMSTCMRVYEANAPRBFLBNAEVXSNA,Playfair
Slain  fohl rwhmo ohsCnuinad  tios.,Rail Fence
Urill xpio rwq av za rwu Savheuwav.,Affine
"Kh vkdoo vsxuqh Idwh, vfruqh Ghdwk, dqg ehduh",Caesar
"Xu oxkhb ofendo Pkpu, imkhxa Haqdd, wdn rowho",Vigenère
CFPBMSPTLVMAFGRSILHMMAKCIMPDRACDIMMK,Playfair
"Hh rF,o tabeesalsun ae creDah n er lpetsne,da",Rail Fence
"Rc urill ufepvc Hizc, usapvc Xcizr, ivx ncipc",Affine
"Klv krshv 'erxh Zlvhgrph, Judfh, dqg Ihduh:",Caesar
"Xyc xyluc 'lkko Gsounkco, Knqma, wdn Powho:",Vigenère
BFPBHVILHAMLXGLIHRCLKNMBIMRYGFRMIU,Playfair
"HhsoWd,a  ri oe bu ieoe rc,adFaesp'esmGene:",Rail Fence
"Rwu rafcu 'naec Owucxaqc, Mpisc, ivx Hcipc:",Affine
"Dqg brx doo nqrz, Vhfxulwb",Caesar
"Qdn oyq khb gdys, Iumqhspo",Vigenère
RACBMVMSTEANXQLEZMKSBW,Playfair
"Ayak,ctn o l nw euiyduloSr",Rail Fence
"Ivx yae ill gvao, Ucsepwzy",Affine
Lv Pruwdov fkhhihvw Hqhplh.,Caesar
Yi Cebpqvo mduobucp Ijuweu.,Vigenère
SXONDZMSLBCFFGILLKMGAEIU,Playfair
IolheEisMrascefs nme t ete.,Rail Fence
Wu Qapzilu srcchcuz Cvcqwc.,Affine
"Pxvlfnh, dqg d Vrqj.",Caesar
"Ckcesua, wdn q Iexc.",Vigenère
CMXSDEIMRYBXNAIW,Playfair
"Mc  ouik,adaSn.sen g",Rail Fence
"Qeuwsgc, ivx i Uavm.",Affine
"Khdunh, L dp fdoo'g: pb olwwoh Vslulw vhh",Caesar
"Xuknao, M qw skhb'z: io hydpbo Czehsp cau",Vigenère
CFRMEFSBCEMSTCNCSESZLPILSFAKLTIUIU,Playfair
"HkI l llpteere  mcl':m iteSii ea,aadyt rs",Rail Fence
"Rcipgc, W iq sill'x: qy lwzzlc Ufwpwz ucc",Affine
"Vlwv lq Irjjb forxg, dqg vwdbhv iru ph.",Caesar
"Iydo sj Jkwqu mheez, wdn idwooo pkh iu.",Vigenère
XSLTGAPHIWQGEUMVBRRYTLNBILPHMOIU,Playfair
"S Fyo  yfmisi og lu,adsae o etngcdntsr.",Rail Fence
"Uwzu wv Hammy slaex, ivx uziycu hap qc.",Affine
"Vlqj zlwklq. Frph dzdb, frph dzdb, &f.",Caesar
"Iyxc gejred. Myiu wmku, yewa ksqi, &y.",Vigenère
XSYQXGPDGAHMCLNXNBHMCLNXNBBU,Playfair
"S h eac ycigwti.Cm wy oeaa,&.ninoa,mw ",Rail Fence
"Uwvm owzrwv. Saqc ioiy, saqc ioiy, &s.",Affine
"1 Frph, ohw'v pdnh kdvw, vkhh'o vrrqh eh",Caesar
"1 Gkco, vaj'o wwao xkoj, irau'h ckexa la",Vigenère
HMCLULLTOREFBOTLPBIULUPANAICIU,Playfair
"1mlska ese oe e' aehs,se' on eC,tm thlob",Rail Fence
"1 Saqc, lcz'u qigc riuz, urcc'l uaavc nc",Affine
Edfnh djdlqh.,Caesar
Rqmgu wwkedo.,Vigenère
IBDEIMINGAIU,Playfair
Bea.ak giecan,Rail Fence
Nisgc imiwvc.,Affine
Hahxqw.,Caesar
Unoqdd.,Vigenère
IULMRQ,Playfair
Enxute.,Rail Fence
Ctcevz.,Affine
Vfdhqd Vhawd.,Caesar
Iskadk Cotjk.,Vigenère
LBMIARLIZSBA,Playfair
Sne.ceaSxaa t,Rail Fence
Usicvi Uctzi.,Affine
"Hqwhu Ohqra, dqg dqrwkhu Orug.",Caesar
"Uddah Buxkn, qxz kjeddub Vynt.",Vigenère
GMLKMTGMAVRABRANPDKMPMDK,Playfair
"Ern  t dne eo,adaohrLr.tLxnneo",Rail Fence
"Cvzcp Lcvat, ivx ivazrcp Lapx.",Affine
"Ohqra. Pb iruphu Vshhfkhv,",Caesar
"Buxkn. Wi vyncon Wluoyxoo,",Vigenère
ULANUAHGNMCLATLFLECFXA,Playfair
"Lxyr eseo.M omrSece,n feph",Rail Fence
"Lcvat. Qy hapqcp Ufccsrcu,",Affine
Kdxh exw klw brxu Wkrxjkwv,Caesar
Xqea lqj dyd oyqh Jxyqwrpi,Vigenère
BOMLCXPDKSHNZMPDMVFYLT,Playfair
H   rotaebthtyu huhsuuioTg,Rail Fence
Riec nez rwz yaep Zraemrzu,Affine
Zklfk fdq lqwhusuhw iduwkhu: Rqhob L vdb,Caesar
Mxsyx yqx yxpublhop pwhddub: Sjuvu M iku,Vigenère
VYEBYHRAGALKOTMKPKRMPDKMNALUBGXBBW,Playfair
Whntrfh l hc a nepe ate:OeyIsyicirtrrn a,Rail Fence
Orwsr siv wvzcpfpcz hipzrcp: Avcly W uiy,Affine
Wklqjv kdxh elq vwudqjhob eruqh. Wkh judflrxv Gxqfdq,Caesar
Jxsjwc xkqu xyx idnqxcuvu lkhxa. Jxo wbwsskkc Nejskj,Vigenère
PDGAIQBOMLISAQZDRAIFQCHAMAKLCFKNMBFAXLCZMYRA,Playfair
Tgabsnyr  csnhnshu i tagl on.Tegaiu ucni enrebehroDa,Rail Fence
